2023-04-02 23:39:05 INFO:__main__:Read csv file for 2020 year -  completed !
2023-04-02 23:40:00 INFO:__main__:Read csv file for 2019 year -  completed !
2023-04-02 23:40:06 INFO:__main__:Dataset already imported
2023-04-02 23:40:06 INFO:__main__:Connection open
2023-04-02 23:40:06 INFO:__main__:Table zno_result created
2023-04-02 23:40:06 INFO:__main__:General table created
2023-04-02 23:40:06 INFO:__main__:Import to database started !
2023-04-02 23:40:06 INFO:__main__:Find last inserted index - 0 
2023-04-02 23:40:07 INFO:__main__:Last index updated to 1000
2023-04-02 23:40:08 INFO:__main__:Last index updated to 2000
2023-04-02 23:40:09 INFO:__main__:Last index updated to 3000
2023-04-02 23:40:09 INFO:__main__:Last index updated to 4000
2023-04-02 23:40:10 INFO:__main__:Last index updated to 5000
2023-04-02 23:40:11 INFO:__main__:Last index updated to 6000
2023-04-02 23:40:12 INFO:__main__:Last index updated to 7000
2023-04-02 23:40:13 INFO:__main__:Last index updated to 8000
2023-04-02 23:40:13 INFO:__main__:Last index updated to 9000
2023-04-02 23:40:14 INFO:__main__:Last index updated to 10000
2023-04-02 23:40:15 INFO:__main__:Last index updated to 11000
2023-04-02 23:40:16 INFO:__main__:Last index updated to 12000
2023-04-02 23:40:17 INFO:__main__:Last index updated to 13000
2023-04-02 23:40:18 INFO:__main__:Last index updated to 14000
2023-04-02 23:40:18 INFO:__main__:Last index updated to 15000
2023-04-02 23:40:19 INFO:__main__:Last index updated to 16000
2023-04-02 23:40:20 INFO:__main__:Last index updated to 17000
2023-04-02 23:40:21 INFO:__main__:Last index updated to 18000
2023-04-02 23:40:22 INFO:__main__:Last index updated to 19000
2023-04-02 23:40:22 INFO:__main__:Last index updated to 20000
2023-04-02 23:40:23 INFO:__main__:Last index updated to 21000
2023-04-02 23:40:24 INFO:__main__:Last index updated to 22000
2023-04-02 23:40:25 INFO:__main__:Last index updated to 23000
2023-04-02 23:40:26 INFO:__main__:Last index updated to 24000
2023-04-02 23:40:27 INFO:__main__:Last index updated to 25000
2023-04-02 23:40:27 INFO:__main__:Last index updated to 26000
2023-04-02 23:40:28 INFO:__main__:Last index updated to 27000
2023-04-02 23:40:29 INFO:__main__:Last index updated to 28000
2023-04-02 23:40:30 INFO:__main__:Last index updated to 29000
2023-04-02 23:40:31 INFO:__main__:Last index updated to 30000
2023-04-02 23:40:32 INFO:__main__:Last index updated to 31000
2023-04-02 23:40:32 INFO:__main__:Last index updated to 32000
2023-04-02 23:40:33 INFO:__main__:Last index updated to 33000
2023-04-02 23:40:34 INFO:__main__:Last index updated to 34000
2023-04-02 23:40:35 INFO:__main__:Last index updated to 35000
2023-04-02 23:40:36 INFO:__main__:Last index updated to 36000
2023-04-02 23:40:37 INFO:__main__:Last index updated to 37000
2023-04-02 23:40:37 INFO:__main__:Last index updated to 38000
2023-04-02 23:40:38 INFO:__main__:Last index updated to 39000
2023-04-02 23:40:39 INFO:__main__:Last index updated to 40000
2023-04-02 23:40:40 INFO:__main__:Last index updated to 41000
2023-04-02 23:40:41 INFO:__main__:Last index updated to 42000
2023-04-02 23:40:42 INFO:__main__:Last index updated to 43000
2023-04-02 23:40:43 INFO:__main__:Last index updated to 44000
2023-04-02 23:40:44 INFO:__main__:Last index updated to 45000
2023-04-02 23:40:44 INFO:__main__:Last index updated to 46000
2023-04-02 23:40:45 INFO:__main__:Last index updated to 47000
2023-04-02 23:40:46 INFO:__main__:Last index updated to 48000
2023-04-02 23:40:47 INFO:__main__:Last index updated to 49000
2023-04-02 23:40:48 INFO:__main__:Last index updated to 50000
2023-04-02 23:40:49 INFO:__main__:Last index updated to 51000
2023-04-02 23:40:49 INFO:__main__:Last index updated to 52000
2023-04-02 23:40:50 INFO:__main__:Last index updated to 53000
2023-04-02 23:40:51 INFO:__main__:Last index updated to 54000
2023-04-02 23:40:52 INFO:__main__:Last index updated to 55000
2023-04-02 23:40:53 INFO:__main__:Last index updated to 56000
2023-04-02 23:40:54 INFO:__main__:Last index updated to 57000
