2023-04-02 23:54:31 INFO:__main__:Read csv file for 2020 year -  completed !
2023-04-02 23:55:20 INFO:__main__:Read csv file for 2019 year -  completed !
2023-04-02 23:55:26 INFO:__main__:Dataset already imported
2023-04-02 23:55:26 INFO:__main__:Connection open
2023-04-02 23:55:26 INFO:__main__:Table zno_result created
2023-04-02 23:55:26 INFO:__main__:General table created
2023-04-02 23:55:26 INFO:__main__:Import to database started !
2023-04-02 23:55:26 INFO:__main__:Find last inserted index - 0 
2023-04-02 23:55:27 INFO:__main__:Last index updated to 1000
2023-04-02 23:55:28 INFO:__main__:Last index updated to 2000
2023-04-02 23:55:29 INFO:__main__:Last index updated to 3000
2023-04-02 23:55:30 INFO:__main__:Last index updated to 4000
2023-04-02 23:55:31 INFO:__main__:Last index updated to 5000
2023-04-02 23:55:32 INFO:__main__:Last index updated to 6000
2023-04-02 23:55:32 INFO:__main__:Last index updated to 7000
2023-04-02 23:55:33 INFO:__main__:Last index updated to 8000
2023-04-02 23:55:34 INFO:__main__:Last index updated to 9000
2023-04-02 23:55:35 INFO:__main__:Last index updated to 10000
2023-04-02 23:55:36 INFO:__main__:Last index updated to 11000
2023-04-02 23:55:37 INFO:__main__:Last index updated to 12000
2023-04-02 23:55:38 INFO:__main__:Last index updated to 13000
2023-04-02 23:55:38 INFO:__main__:Last index updated to 14000
2023-04-02 23:55:39 INFO:__main__:Last index updated to 15000
2023-04-02 23:55:40 WARNING:__main__:База данных недоступна. 
2023-04-02 23:55:40 Если вы отключили ее - пожалуйста запустите ее. Повторное подключение через 30 сек.
2023-04-02 23:56:55 WARNING:__main__:База данных недоступна. 
2023-04-02 23:56:55 Если вы отключили ее - пожалуйста запустите ее. Повторное подключение через 30 сек.
2023-04-02 23:57:25 INFO:__main__:Find last inserted index - 15000 
2023-04-02 23:57:26 INFO:__main__:Last index updated to 16000
2023-04-02 23:57:26 INFO:__main__:Last index updated to 17000
2023-04-02 23:57:27 INFO:__main__:Last index updated to 18000
2023-04-02 23:57:28 INFO:__main__:Last index updated to 19000
2023-04-02 23:57:29 INFO:__main__:Last index updated to 20000
2023-04-02 23:57:30 INFO:__main__:Last index updated to 21000
2023-04-02 23:57:30 INFO:__main__:Last index updated to 22000
2023-04-02 23:57:31 INFO:__main__:Last index updated to 23000
2023-04-02 23:57:32 INFO:__main__:Last index updated to 24000
2023-04-02 23:57:33 INFO:__main__:Last index updated to 25000
2023-04-02 23:57:34 INFO:__main__:Last index updated to 26000
2023-04-02 23:57:35 INFO:__main__:Last index updated to 27000
2023-04-02 23:57:35 INFO:__main__:Last index updated to 28000
2023-04-02 23:57:36 INFO:__main__:Last index updated to 29000
2023-04-02 23:56:20 Не удалось подключиться к базе данных mydb. Попытка повторого подключения будет выполнена еще 3 раз(а)
2023-04-02 23:56:35 Не удалось подключиться к базе данных mydb. Попытка повторого подключения будет выполнена еще 2 раз(а)
2023-04-02 23:56:50 Не удалось подключиться к базе данных mydb. Попытка повторого подключения будет выполнена еще 1 раз(а)
2023-04-02 23:57:37 INFO:__main__:Last index updated to 30000
2023-04-02 23:57:38 INFO:__main__:Last index updated to 31000
2023-04-02 23:57:39 INFO:__main__:Last index updated to 32000
2023-04-02 23:57:40 INFO:__main__:Last index updated to 33000
2023-04-02 23:57:40 INFO:__main__:Last index updated to 34000
2023-04-02 23:57:41 INFO:__main__:Last index updated to 35000
2023-04-02 23:57:42 INFO:__main__:Last index updated to 36000
2023-04-02 23:57:43 INFO:__main__:Last index updated to 37000
2023-04-02 23:57:44 INFO:__main__:Last index updated to 38000
2023-04-02 23:57:45 INFO:__main__:Last index updated to 39000
2023-04-02 23:57:46 INFO:__main__:Last index updated to 40000
2023-04-02 23:57:46 INFO:__main__:Last index updated to 41000
2023-04-02 23:57:47 INFO:__main__:Last index updated to 42000
2023-04-02 23:57:48 INFO:__main__:Last index updated to 43000
2023-04-02 23:57:49 INFO:__main__:Last index updated to 44000
2023-04-02 23:57:50 INFO:__main__:Last index updated to 45000
2023-04-02 23:57:50 INFO:__main__:Last index updated to 46000
2023-04-02 23:57:51 INFO:__main__:Last index updated to 47000
2023-04-02 23:57:52 INFO:__main__:Last index updated to 48000
2023-04-02 23:57:53 INFO:__main__:Last index updated to 49000
2023-04-02 23:57:54 INFO:__main__:Last index updated to 50000
2023-04-02 23:57:55 INFO:__main__:Last index updated to 51000
2023-04-02 23:57:55 INFO:__main__:Last index updated to 52000
2023-04-02 23:57:56 INFO:__main__:Last index updated to 53000
2023-04-02 23:57:57 INFO:__main__:Last index updated to 54000
2023-04-02 23:57:58 INFO:__main__:Last index updated to 55000
2023-04-02 23:57:59 INFO:__main__:Last index updated to 56000
2023-04-02 23:58:00 INFO:__main__:Last index updated to 57000
2023-04-02 23:58:00 INFO:__main__:Last index updated to 58000
2023-04-02 23:58:01 INFO:__main__:Last index updated to 59000
2023-04-02 23:58:02 INFO:__main__:Last index updated to 60000
2023-04-02 23:58:03 INFO:__main__:Last index updated to 61000
2023-04-02 23:58:04 INFO:__main__:Last index updated to 62000
2023-04-02 23:58:04 INFO:__main__:Last index updated to 63000
2023-04-02 23:58:05 INFO:__main__:Last index updated to 64000
