RegName,average_score,Year
Вінницька область,41.64,2019
Вінницька область,41.70,2020
Волинська область,43.87,2019
Волинська область,43.43,2020
Дніпропетровська область,41.15,2019
Дніпропетровська область,40.84,2020
Донецька область,41.13,2019
Донецька область,40.30,2020
Житомирська область,41.78,2019
Житомирська область,41.44,2020
Закарпатська область,38.86,2019
Закарпатська область,39.55,2020
Запорізька область,41.07,2019
Запорізька область,40.35,2020
Івано-Франківська область,43.18,2019
Івано-Франківська область,43.74,2020
Київська область,43.20,2019
Київська область,42.21,2020
Кіровоградська область,41.53,2019
Кіровоградська область,41.18,2020
Луганська область,40.73,2019
Луганська область,40.24,2020
Львівська область,45.76,2019
Львівська область,45.97,2020
Миколаївська область,40.13,2019
Миколаївська область,39.51,2020
м.Київ,46.44,2019
м.Київ,46.09,2020
Одеська область,40.00,2019
Одеська область,40.08,2020
Полтавська область,42.33,2019
Полтавська область,41.91,2020
Рівненська область,42.00,2019
Рівненська область,43.04,2020
Сумська область,42.52,2019
Сумська область,42.65,2020
Тернопільська область,43.84,2019
Тернопільська область,43.65,2020
Харківська область,43.50,2019
Харківська область,42.78,2020
Херсонська область,40.37,2019
Херсонська область,40.03,2020
Хмельницька область,42.57,2019
Хмельницька область,42.41,2020
Черкаська область,43.11,2019
Черкаська область,42.13,2020
Чернівецька область,40.29,2019
Чернівецька область,42.23,2020
Чернігівська область,42.75,2019
Чернігівська область,42.17,2020
