RegName,average_score_2019,average_score_2020
Вінницька область,41.64,41.70
Волинська область,43.87,43.43
Дніпропетровська область,41.15,40.84
Донецька область,41.13,40.30
Житомирська область,41.78,41.44
Закарпатська область,38.86,39.55
Запорізька область,41.07,40.35
Івано-Франківська область,43.18,43.74
Київська область,43.20,42.21
Кіровоградська область,41.53,41.18
Луганська область,40.73,40.24
Львівська область,45.76,45.97
Миколаївська область,40.13,39.51
м.Київ,46.44,46.09
Одеська область,40.00,40.08
Полтавська область,42.33,41.91
Рівненська область,42.00,43.04
Сумська область,42.52,42.65
Тернопільська область,43.84,43.65
Харківська область,43.50,42.78
Херсонська область,40.37,40.03
Хмельницька область,42.57,42.41
Черкаська область,43.11,42.13
Чернівецька область,40.29,42.23
Чернігівська область,42.75,42.17
